instname,housed_under,college,school,department,program,cip_program,website_inst,website_program,website_catalog,course_titles
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science - Master of Science,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Design & Analysis of Algorithms; Object Oriented Programming & Design; Computer Architecture; Operating System Principles; Database Management Systems; Software Engineering Methodology; Thesis; Management Information Systems; Numerical Analysis; Applications of Statistical Methods; Compiler Design; Advanced Data Structures; Cyber Security Fundamentals; Introduction to Bioinformatics; Computer Communications; Artificial Intelligence; Neural Networks; Advanced Database Systems; Multimedia Systems and Applications; Image Processing; Computer Graphics and Animation; Fuzzy and Expert Systems; Wireless and Mobile Computing; Cooperative Educational Work Experience; Advanced Topics in Computer Science; Independent Study
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science - Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html ,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Design & Analysis of Algorithms; Object Oriented Programming & Design; Computer Architecture; Operating System Principles; Database Management Systems; Software Engineering Methodology; Thesis; Management Information Systems; Numerical Analysis; Applications of Statistical Methods; Compiler Design; Advanced Data Structures; Cyber Security Fundamentals; Introduction to Bioinformatics; Computer Communications; Artificial Intelligence; Neural Networks; Advanced Database Systems; Multimedia Systems and Applications; Image Processing; Computer Graphics and Animation; Fuzzy and Expert Systems; Wireless and Mobile Computing; Cooperative Educational Work Experience; Advanced Topics in Computer Science; Independent Study
Alcorn State University,Computing,N/A,School of Arts & Sciences,Math and Computer Science Department,Computer and Information Science - Master of Science,11.0199,https://www.alcorn.edu/,https://www.alcorn.edu/academics/schools-and-departments/college-of-arts-and-sciences/mathematics-and-computer-science/,https://www.alcorn.edu/wp-content/uploads/2022/06/MS_Computer_and_Info_Science-Internship_Link5.pdf,Theory of Computation; Programming Languages; Operating Systems; Design and Analysis of Algorithms; Internship; Information Retrieval System I; Artificial Intelligence; Database Management Systems; Computer Architecture; Computer Graphics; Compiler Construction; Implementation of Advanced Algorithms; Software Engineering; Scientific Computation; Network and Telecom I; Network and Telecom II; Algorithms for Parallel Computers; Information Retrieval System II; Object-Oriented Programming and Data Structure; Special Topics in Computer Science
Angelo State University,Computing,N/A,N/A,Department of Computer Science,Computer Science - Master of Science,11.0701,https://www.angelo.edu/,https://www.angelo.edu/academics/programs/computer-science-ms/ ,https://www.angelo.edu/departments/computer-science/course-descriptions/computer-science-graduate-courses.php,Thesis; Introduction to Programming for Data Science; Advanced Operating Systems; Software Engineering; Ethical Issues in Computing; Database Systems; Advanced Database Systems; Advanced Web Technologies; Computer Networks; Computer and Network Security; Data Security; Software Security; Artificial Intelligence; Machine Learning; Data Mining; Deep Learning; Image Processing; Multimedia Systems; Robotics; Data Science; Big Data; Semantic Web; Knowledge Engineering; Analysis of Algorithms; Computer Game Development; Internship; Advanced Computer Game Development; Research; Project
Bowie State University,Computing,College of Arts and Sciences,N/A,Computer Science Department,Computer Science - Master of Science,11.0701,https://www.bowiestate.edu/,https://www.bowiestate.edu/academics/colleges/college-of-arts-and-sciences/departments/computer-science/graduate-programs/masters-degree/,https://www.bowiestate.edu/academics/colleges/college-of-arts-and-sciences/departments/computer-science/graduate-programs/masters-degree/required-courses.php,"Computer Organization; Software Design and Development II; Operating Systems I; Discrete Structures; Design and Analysis of Algorithms; Computer Architecture; Computer Graphics I; Logic, Compatibility and Automata I; Database Design; Information Privacy and Security; Numerical Analysis I; Software Security; Formal Methods in Programming Languages; Design of Embedded Systems; Compiler Design and Construction I; Software Engineering I; Artificial Intelligence I; Object-Oriented Programming and Design Paradigm; Computer Communications Networks I; Selected Topics in Computer Science; Operating Systems II; Performance Evaluation; Computer Graphics II; Logic, Compatibility and Automata II; Database and Information Systems II; Numerical Analysis II; Applied Cryptography; Compiler Design and Construction II; Software Engineering II; Artificial Intelligence II; Applied Combinations and Graphic Theory; Queuing Theory in Computer Science; Modeling and Simulation; Computer Communication Networks II; Distributed Computer Systems; Advanced Topics in Computer Science; Advanced Topics in Computer Science; Advanced Topics in Computer Science; Master's Thesis in Computer Science I; Master's Thesis in Computer Science II; Applied Research in Computer Science; Image Processing I; Virtual Reality and Its Applications; Principles of Data Mining; Advanced Wireless Security; Pattern Recognition I; Image Processing II; Advanced Virtual Reality Systems; Advanced Data Warehousing and Data Mining; Numerical Optimization; High Performance Computing"
California State Polytechnic University-Pomona,Computing,College of Science,N/A,Department of Computer Science,Computer Science - Master of Science,11.0701,https://www.cpp.edu/,https://www.cpp.edu/sci/computer-science/index.shtml,https://www.cpp.edu/sci/computer-science/prospective-graduate-students/program-information.shtml,Advanced Computer Architecture; Advanced Algorithm Design and Analysis; Advanced Software Engineering; Graduate Seminar; Directed Study; Master's Degree Project; Master's Degree Thesis; Computer-Assisted Instruction; Natural Language Processing; Information Retrieval; Computer Vision; Robotics; Distributed Intelligence in Robotics; Computability and Complexity Theory; Parallel and Distributed Algorithms; Scheduling Algorithms; Topics in Compiler Design; Advanced Information Security; Computer Image Processing; Advanced Computer Networks; Distributed Computing Systems; Human Computer Interaction; Topics in Database Systems; Software Verification and Validation; Software Metrics and Models; Special Topics for Graduate Students
California State University-Channel Islands,Unhoused (Organized by programs),N/A,N/A,N/A,Computer Science - Master of Science,11.0701,https://www.csuci.edu/,https://compsci.csuci.edu/degrees/mscs/index.htm ,https://compsci.csuci.edu/degrees/mscs/mscs-courses.htm,Advanced Image Analysis Techniques; Advanced Database Systems; Security; Cloud Computing; Computational Bioinformatics; Pattern Recognition; Human-Computer Interaction; Advanced Software Engineering; Algorithms; Geometry and Computer Graphic; Artificial Intelligence; Biologically Inspired Computing; Neural Networks; Multi-Agent Systems; Data Mining; Advanced Topics in Computer Science; Master Project; Master Thesis; Graduate Seminar 
California State University-Chico,Computing,"College of Engineering, Computer Science, and Construction Management",N/A,Department of Computer Science,Computer Science - Master of Science,11.0701,https://www.csuchico.edu/index.shtml,https://www.csuchico.edu/csci/programs/ms-compsci/index.shtml ,https://catalog.csuchico.edu/colleges-departments/college-engineering-computer-science-construction-management/computer-science/computer-science-ms/#programrequirementstext,Applied Machine Learning; Applied Computer Vision; Web Technology; Software Design and Maintenance; Operating Systems; Algorithms and Computability; Applied Graph Theory; Topics in Artificial Intelligence; Internship; Research Methods in Computer Science;; Independent Study; Seminar in Advanced Topics; Master's Project; Master's Thesis; Advanced Object-Oriented Programming; Object-Oriented Programming - Honors; Compiler Design; Compiler Design - Honors; Systems Programming; Computer Network Management; Numerical Methods and Parallel Programming; Advanced Web and Mobile App Development; Computer Graphics Programming; Artificial Intelligence; Artificial Intelligence - Honors; Machine Learning; Machine Learning- Honors; Bioinformatics; Robotics and Machine Intelligence; Advanced Topics in Computer Science; Advanced Algorithms and Complexity; Introduction to Computer Networks and Network Management; Computer Security; Web Programming Fundamentals; Web and Mobile App Development; Advanced Computer Networks
California State University-Dominguez Hills,Computing,College of Natural & Behavioral Sciences,N/A,Department of Computer Science,Computer Science - Master of Science,11.0701,https://www.csudh.edu/,https://www.csudh.edu/csc/programs/computer-science-programs/ms-computer-science/ ,https://catalog.csudh.edu/academics/computer-science/computer-science-ms/#requirementstext,Research Methods; Design and Analysis of Algorithms; Fundamentals and Concepts of Programming Languages; Advanced Software Engineering; Software Project; Master's Thesis; Master's Project; Advanced Operating Systems; Human Computer Interaction and Interface Design; Object-Oriented Analysis and Design; Software Engineering Processes; Advanced Software Quality Assurance; Advanced Computer Architecture; Data Communications and Computer Networks; Distributed Computing and Parallel Processing; Information Assurance and Network Security; Artificial Intelligence and Expert Systems; Advanced Computer Architecture; Advanced Operating Systems; Human Computer Interaction and Interface Design; Advanced Database Management Systems; Data Communications and Computer Networks; Distributed Computing and Parallel Processing; Information Assurance and Network Security; Advanced Computer Graphic; Software Engineering Processes; Advanced Software Quality Assurance; Independent Study; Special Topics in Computer Science
California State University-Dominguez Hills,Computing,College of Natural & Behavioral Sciences,N/A,Department of Computer Science,Cybersecurity - Master of Science,Cybersecurity*,https://www.csudh.edu/,https://www.csudh.edu/csc/programs/cyber-security-programs/ ,https://www.csudh.edu/cyber-security-ms/degree-requirements/,Foundations of Information Security; Foundations of Cyber Forensics; Information Security Policy and Procedures; Information Assurance and Network Security; Software Project Planning and Management; Graduate Project; Advanced Cyber Forensics; Advanced Operating Systems Security; Data Communications and Computer Network; Advanced Hacking Prevention; Advanced Communication System Security; Secure Cloud Computing
