category,institution,city,state,type
TCU,Aaniiih Nakoda College,Harlem,MT,Public 4yr
HSI,Adams State University,Alamosa,CO,Public 4yr
AANAPISI,Adelphi University,Garden City,NY,Private 4yr
HSI,AdventHealth University,Orlando,FL,Private 4yr
HBCU,Alabama A & M University,Normal,AL,Public 4yr
HBCU,Alabama State University,Montgomery,AL,Public 4yr
ANNH & NASNTI,Alaska Pacific University,Anchorage,AK,Private 4yr
HBCU,Albany State University,Albany,GA,Public 4yr
HSI,Albizu University-Miami,Miami,FL,Private 4yr
HSI,Albizu University-San Juan,San Juan,PR,Private 4yr
HBCU,Alcorn State University,Alcorn State,MS,Public 4yr
HBCU,Allen University,Columbia,SC,Private 4yr
HSI,Alverno College,Milwaukee,WI,Private 4yr
AANAPISI,America Evangelical University,Los Angeles,CA,Private 4yr
HBCU,American Baptist College,Nashville,TN,Private 4yr
AANAPISI,American Samoa Community College,Pago Pago,AS,Public 4yr
HSI,American University of Puerto Rico,Bayamon,PR,Private 4yr
HSI,American University of Puerto Rico,Manati,PR,Private 4yr
AANAPISI,Andrews University,Berrien Springs,MI,Private 4yr
HSI,Angelo State University,San Angelo,TX,Public 4yr
HSI,Antelope Valley College,Lancaster,CA,Public 4yr
HSI,Antioch University-Santa Barbara,Santa Barbara,CA,Private 4yr
HSI,Arizona Christian University,Glendale,AZ,Private 4yr
HBCU,Arkansas Baptist College,Little Rock,AR,Private 4yr
HSI,Atenas College,Manati,PR,Private 4yr
PBI,Atlanta Metropolitan State College,Atlanta,GA,Public 4yr
HSI,Atlantic University College,Guaynabo,PR,Private 4yr
PBI,Auburn University at Montgomery,Montgomery,AL,Public 4yr
AANAPISI,Augsburg University,Minneapolis,MN,Private 4yr
HSI,Aurora University,Aurora,IL,Private 4yr
AANAPISI,Austin College,Sherman,TX,Private 4yr
HSI,Austin Community College District,Austin,TX,Public 4yr
AANAPISI & HSI,Azusa Pacific University,Azusa,CA,Private 4yr
NASNTI,Bacone College,Muskogee,OK,Private 4yr
HSI,Bakersfield College,Bakersfield,CA,Public 4yr
PBI,Baptist Health Sciences University,Memphis,TN,Private 4yr
HSI,Baptist University of the Americas,San Antonio,TX,Private 4yr
HSI,Barry University,Miami,FL,Private 4yr
