instname,unitid,opeid,stabbr,geolocation,category
Alabama A & M University,100654,100200,AL,Huntsville AL,
Alcorn State University,175342,239600,MS,Lorman MS,
Angelo State University,222831,354100,TX,San Angelo TX,
Bowie State University,162007,206200,MD,Bowie MD,
California State Polytechnic University-Pomona,110529,114400,CA,Pomona CA,
California State University-Channel Islands,441937,3980300,CA,Camarillo CA,
California State University-Chico,110538,114600,CA,Chico CA,
California State University-Dominguez Hills,110547,114100,CA,Carson CA,
California State University-East Bay,110574,113800,CA,Hayward CA,
California State University-Fresno,110556,114700,CA,Fresno CA,
California State University-Fullerton,110565,113700,CA,Fullerton CA,
California State University-Long Beach,110583,113900,CA,Long Beach CA,
California State University-Los Angeles,110592,114000,CA,Monterey Park CA,
California State University-Northridge,110608,115300,CA,Northridge CA,
California State University-Sacramento,110617,115000,CA,Sacramento CA,
California State University-San Bernardino,110510,114200,CA,San Bernardino CA,
California State University-San Marcos,366711,3011300,CA,San Marcos CA,
Clark Atlanta University,138947,155900,GA,Atlanta GA,
Clayton State University,139311,897600,GA,Morrow GA,
CUNY City College,190567,268800,NY,West Harlem NY,
CUNY Hunter College,190594,268900,NY,Lenox Hill NY,
CUNY Queens College,190664,269000,NY,Queens NY,
Delaware State University,130934,142800,DE,Dover DE,
EDP University of Puerto Rico,243832,2165100,PR,San Juan PR,
Florida Agricultural and Mechanical University,133650,148000,FL,Tallahassee FL,
Florida Atlantic University,133669,148100,FL,Boca Raton FL,
Hampton University,232265,371400,VA,Hampton VA,
Inter American University of Puerto Rico-Fajardo Campus,242680,2282800,PR,Fajardo PR,
Inter American University of Puerto Rico-Guayama Campus,242699,2282700,PR,Guayama PR,
Inter American University of Puerto Rico-Metropolitan Campus,242653,394000,PR,Monacillo PR,
Jackson State University,175856,241000,MS,Jackson MS,
Kentucky State University,157058,196800,KY,Frankfort KY,
Mercy College,193016,277200,NY,Dobbs Ferry NY,
Metropolitan State University,174020,1037400,MN,St Paul MN,
Morgan State University,163453,208300,MD,Baltimore MD,
New Mexico Highlands University,187897,265300,NM,Las Vegas NM,
New Mexico Institute of Mining and Technology,187967,265400,NM,Socorro NM,
Norfolk State University,232937,376500,VA,Norfolk VA,
North Carolina A & T State University,199102,290500,NC,Greensboro NC,
Northeastern Illinois University,147776,169300,IL,North Park IL,
Nova Southeastern University,136215,150900,FL,Fort Lauderdale FL,
Prairie View A & M University,227526,363000,TX,Prairie View TX,
San Diego State University,122409,115100,CA,San Diego CA,
San Francisco State University,122597,115400,CA,Stonestown CA,
Southern University and A & M College,160621,202500,LA,Baton Rouge LA,
Southern University at New Orleans,160630,202600,LA,New Orlleans LA,
St. Mary's University,228149,362300,TX,San Antonio TX,
Talladega College,102298,104600,AL,Talladega AL,
Texas A & M University-Corpus Christi,224147,1116100,TX,Corpus Christi TX,
Texas A & M University-Kingsville,228705,363900,TX,Kingsville TX,
Texas Southern University,229063,364200,TX,Houston TX,
Texas State University,228459,361500,TX,San Marcos TX,
Texas Woman's University,229179,364600,TX,Denton TX,
The University of Texas at Arlington,228769,365600,TX,Arlington TX,
The University of Texas at San Antonio,229027,1011500,TX,San Antonio TX,
The University of Texas Permian Basin,229018,993000,TX,Odessa TX,
Tuskegee University,102377,105000,AL,Tuskegee AL,
Universidad Ana G. Mendez-Cupey Campus,241739,2587500,PR,Belisa PR,
Universidad Ana G. Mendez-Gurabo Campus,243601,1171900,PR,Santa Elvira PR,
Universidad Politecnica de Puerto Rico,243577,2100000,PR,Hato Rey Central PR,
University of Arizona,104179,108300,AZ,Tucson AZ,
University of Arkansas at Pine Bluff,106412,108600,AR,Pine Bluff AR,
University of California-Irvine,110653,131400,CA,Irvine CA,
University of California-Santa Barbara,110705,132000,CA,Santa Barbara CA,
University of California-Santa Cruz,110714,132100,CA,Santa Cruz CA,
University of Hawaii at Manoa,141574,161000,HI,Honolulu HI,
University of Houston-Clear Lake,225414,1171100,TX,Taylor Lake Village TX,
University of Houston-Downtown,225432,361200,TX,Houston TX,
University of Illinois Chicago,145600,177600,IL,Chicago IL,
University of Maryland Eastern Shore,163338,210600,MD,Princess Anne MD,
University of Massachusetts-Boston,166638,222200,MA,Savin Hill MA,
University of Minnesota-Twin Cities,174066,396900,MN,Minneapolis MN,
University of Nevada-Las Vegas,182281,256900,NV,Paradise NV,
University of New Mexico-Main Campus,187985,266300,NM,Albuquerque NM,
University of Puerto Rico-Mayaguez Campus,243197,394400,PR,Mayaguez PR,
University of the District of Columbia,131399,144100,DC,Northwest Washington DC,
Virginia State University,234155,376400,VA,Petersburg VA,
West Virginia State University,237899,382600,WV,Institute WV,
Winston-Salem State University,199999,298600,NC,Winston-Salem NC,
